ListenID_23_04,Name,Kategorie,Typ,SM_TwitterURL,SM_TwitterID,SM_FacebookURL,SM_FacebookID,SM_InstagramURL,SM_InstagramID,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,K_Ursprungsgattung,K_Finanzierung,T_Mitglied_in_BPK
26,Bundesministerium für Bildung und Forschung,2,15,https://twitter.com/buergerdialoge,245326545,https://www.facebook.com/bmbf.de/,1173504606112670,https://www.instagram.com/bmbf.bund/,14540507207,,,,Oberste Bundesbehörde,,,
27,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,2,15,https://twitter.com/BMZ_Bund,343890284,https://www.facebook.com/BMZ.Bund/,192941487432989,https://www.instagram.com/bmz_bund/,7934066615,,,,Oberste Bundesbehörde,,,
28,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",2,15,https://twitter.com/bmwsb_bund,1469289892094033927,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
29,Zentrale der Deutschen Bundesbank,2,15,https://twitter.com/bundesbank,784790730,https://de-de.facebook.com/deutsche.bundesbank,575560019207168,https://www.instagram.com/deutsche.bundesbank/,6903896575,,,,Oberste Bundesbehörde,,,
30,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
31,Bundesgerichtshof (soweit als Behörde tätig),2,15,https://twitter.com/BGH_Bund,1105111175199670272,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
32,Bundesarbeitsgericht (soweit als Behörde tätig),2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
33,Bundesfinanzhof (soweit als Behörde tätig),2,15,https://twitter.com/bfh_bund,702784178211921920,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
34,Bundessozialgericht (soweit als Behörde tätig),2,15,https://twitter.com/bsg_bund,1152106671646347264,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
35,Bundesverwaltungsgericht (soweit als Behörde tätig),2,15,https://twitter.com/bverwg_de,3429537346,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
36,Unabhängiger Kontrollrat,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Bundesbehörde,,,
37,Bildungszentrum der Bundeswehr,2,15,https://twitter.com/PIZ_Personal,1194238392852271105,https://www.facebook.com/Bundeswehr/,122840837780517,https://www.instagram.com/bundeswehr/,1441174006,,,,Bundesoberbehörde,,,
38,Bundesausgleichsamt,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
39,"Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr",2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
40,Bundesamt für Auswärtige Angelegenheiten,2,15,https://twitter.com/AuswaertigesAmt,273468342,https://www.facebook.com/AuswaertigesAmt/,237282353035609,https://www.instagram.com/auswaertigesamt/,1766820461,,,,Bundesoberbehörde,,,
41,Bundesamt für Wirtschaft und Ausfuhrkontrolle,2,15,https://twitter.com/BAFA_Bund/,1690160708,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
42,Bundesamt für Familie und zivilgesellschaftliche Aufgaben,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
43,Bundesamt für Güterverkehr,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
44,"Bundesamt für Infrastruktur, Umweltschutz und Dienstleistungen der Bundeswehr",2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
45,Bundesamt für Migration und Flüchtlinge,2,15,https://twitter.com/BAMF_Dialog,1086609698,https://de-de.facebook.com/bamf.socialmedia,318902741555960,https://www.instagram.com/bamf_bund/,287945873,,,,Bundesoberbehörde,,,
46,Bundesamt für äußere Restitutionen,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
47,Bundesarchiv,2,15,https://twitter.com/BundesarchivD,1094924097602179073,existiert nicht,existiert nicht,https://www.instagram.com/bundesarchivd/,45920732230,,,,Bundesoberbehörde,,,
48,Bundesamt für zentrale Dienste und offene Vermögensfragen,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
49,Bundesamt für das Personalmanagement der Bundeswehr,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
50,Bundesanstalt für Verwaltungsdienstleistungen,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
51,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe,2,15,https://twitter.com/BBK_Bund,3002862341,existiert nicht,existiert nicht,https://www.instagram.com/bbk_in_aktion/,48098151769,,,,Bundesoberbehörde,,,
52,Bundesamt für Bauwesen und Raumordnung,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
53,Beschaffungsamt des Bundesministeriums des Innern,2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Bundesoberbehörde,,,
